STATECD,UNITCD,UNITCD_NAME,COUNTYCD,COUNTY_NAME
12,1, Northeast,121, Suwannee
12,1, Northeast,123, Taylor
12,1, Northeast,125, Union
12,1, Northeast,127, Volusia
12,2, Northwest,129, Wakulla
12,2, Northwest,131, Walton
12,2, Northwest,133, Washington
13,1, Southeast,1, Appling
13,1, Southeast,3, Atkinson
13,1, Southeast,5, Bacon
13,2, Southwest,7, Baker
13,3, Central,9, Baldwin
13,4, North Central,11, Banks
13,4, North Central,13, Barrow
13,5, North,15, Bartow
13,2, Southwest,17, Ben Hill
13,2, Southwest,19, Berrien
13,3, Central,21, Bibb
13,3, Central,23, Bleckley
13,1, Southeast,25, Brantley
13,2, Southwest,27, Brooks
13,1, Southeast,29, Bryan
13,1, Southeast,31, Bulloch
13,3, Central,33, Burke
13,3, Central,35, Butts
13,3, Central,37, Calhoun
13,1, Southeast,39, Camden
13,1, Southeast,43, Candler
13,4, North Central,45, Carroll
13,5, North,47, Catoosa
13,1, Southeast,49, Charlton
13,1, Southeast,51, Chatham
13,3, Central,53, Chattahoochee
13,5, North,55, Chattooga
13,5, North,57, Cherokee
13,4, North Central,59, Clarke
13,3, Central,61, Clay
13,4, North Central,63, Clayton
13,1, Southeast,65, Clinch
13,4, North Central,67, Cobb
13,1, Southeast,69, Coffee
13,2, Southwest,71, Colquitt
13,3, Central,73, Columbia
13,2, Southwest,75, Cook
13,4, North Central,77, Coweta
13,3, Central,79, Crawford
13,2, Southwest,81, Crisp
13,5, North,83, Dade
13,5, North,85, Dawson
13,2, Southwest,87, Decatur
13,4, North Central,89, DeKalb
13,1, Southeast,91, Dodge
13,2, Southwest,93, Dooly
13,3, Central,95, Dougherty
13,4, North Central,97, Douglas
13,2, Southwest,99, Early
13,1, Southeast,101, Echols
13,1, Southeast,103, Effingham
13,4, North Central,105, Elbert
13,1, Southeast,107, Emanuel
13,1, Southeast,109, Evans
13,5, North,111, Fannin
13,4, North Central,113, Fayette
13,5, North,115, Floyd
13,4, North Central,117, Forsyth
13,4, North Central,119, Franklin
13,4, North Central,121, Fulton
13,5, North,123, Gilmer
13,3, Central,125, Glascock
13,1, Southeast,127, Glynn
13,5, North,129, Gordon
13,2, Southwest,131, Grady
13,3, Central,133, Greene
13,4, North Central,135, Gwinnett
13,5, North,137, Habersham
13,4, North Central,139, Hall
13,3, Central,141, Hancock
13,4, North Central,143, Haralson
13,3, Central,145, Harris
13,4, North Central,147, Hart
13,4, North Central,149, Heard
13,4, North Central,151, Henry
13,3, Central,153, Houston
13,2, Southwest,155, Irwin
13,4, North Central,157, Jackson
